number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_lambda,state
63,0.5056535642614769,2025-06-12 18:28:49.734059,2025-06-12 18:34:36.765305,0 days 00:05:47.031246,0.9054907547580262,0.5480304844920386,0.023060536639075518,10,19,207,2.4714533628453018e-08,COMPLETE
64,0.505666790924999,2025-06-12 18:34:36.766369,2025-06-12 18:39:59.960106,0 days 00:05:23.193737,0.8853093455526325,0.6317424745623044,0.03855827199246872,9,38,183,3.476396331653501e-07,COMPLETE
65,0.5060849126568231,2025-06-12 18:39:59.961165,2025-06-12 18:46:23.296943,0 days 00:06:23.335778,0.971938237346173,0.597952445016391,0.017699250752118416,10,32,151,1.0924230053361557e-08,COMPLETE
66,0.4994884104366073,2025-06-12 18:46:23.298008,2025-06-12 18:51:57.327464,0 days 00:05:34.029456,0.9360055763625653,0.5111743366380301,0.017304452166405818,6,31,293,1.2734918754689316e-08,COMPLETE
67,0.5017005493678232,2025-06-12 18:51:57.328529,2025-06-12 18:58:39.236165,0 days 00:06:41.907636,0.9818354271525777,0.6119288178407306,0.01261503705728389,11,45,69,3.489784819003457e-08,COMPLETE
68,0.5028230127691927,2025-06-12 18:58:39.237248,2025-06-12 19:04:35.224640,0 days 00:05:55.987392,0.9068298930625696,0.6879491730903632,0.01867049945202372,9,33,268,4.40230380116577e-05,COMPLETE
69,0.5041040006333821,2025-06-12 19:04:35.225698,2025-06-12 19:09:40.809751,0 days 00:05:05.584053,0.8704252043366731,0.4684584745900139,0.04528653941614236,10,40,128,4.7863497947298626e-08,COMPLETE
70,0.5062615466148418,2025-06-12 19:09:40.810802,2025-06-12 19:16:06.241542,0 days 00:06:25.430740,0.8283121018470776,0.5601446275051294,0.015019021693715226,12,52,160,1.1223528556236918e-08,COMPLETE
71,0.5010958448525934,2025-06-12 19:16:06.242591,2025-06-12 19:22:20.461663,0 days 00:06:14.219072,0.829293249143812,0.539623902326217,0.01049187914791916,12,53,161,1.724909837226711e-08,COMPLETE
72,0.5048608323204952,2025-06-12 19:22:20.462750,2025-06-12 19:28:39.155798,0 days 00:06:18.693048,0.8553077283863463,0.5676859116955345,0.015009430678984052,12,46,142,1.017484908087699e-08,COMPLETE
73,0.5039585443977017,2025-06-12 19:28:39.156881,2025-06-12 19:34:40.357339,0 days 00:06:01.200458,0.8050304901351089,0.5602683240748837,0.016091123403650483,11,51,153,1.5401090053695705e-07,COMPLETE
